"Freq [GHz]","Phi [deg]","Theta [deg]","normalize(GainTotal) []"
6,90.0000000000002,-90,9.07637746322756E-06
6,90.0000000000002,-89,6.97657474819464E-06
6,90.0000000000002,-88,8.32792489556458E-06
6,90.0000000000002,-87,1.44060522139723E-05
6,90.0000000000002,-86,2.6777425313095E-05
6,90.0000000000002,-85,4.73368266896357E-05
6,90.0000000000002,-84,7.8343129277141E-05
6,90.0000000000002,-83,0.000122451232767632
6,90.0000000000002,-82,0.000182737365353642
6,90.0000000000002,-81,0.00026271423631381
6,90.0000000000002,-80,0.000366331757705973
6,90.0000000000002,-79,0.000497958280156164
6,90.0000000000002,-78,0.000662336567206284
6,90.0000000000002,-77,0.000864508144976503
6,90.0000000000002,-76,0.00110969931276296
6,90.0000000000002,-75,0.00140316211423506
6,90.0000000000002,-74,0.00174996410063785
6,90.0000000000002,-73,0.00215472193924305
6,90.0000000000002,-72,0.00262127601629257
6,90.0000000000002,-71,0.00315230633603289
6,90.0000000000002,-70,0.00374889438658759
6,90.0000000000002,-69,0.00441004134105909
6,90.0000000000002,-68,0.00513216001716042
6,90.0000000000002,-67,0.00590856633603325
6,90.0000000000002,-66,0.0067290053372565
6,90.0000000000002,-65,0.00757925664465987
6,90.0000000000002,-64,0.00844087390384852
6,90.0000000000002,-63,0.00929112111232648
6,90.0000000000002,-62,0.0101031746345724
6,90.0000000000002,-61,0.0108466614772187
6,90.0000000000002,-60,0.0114886003504238
6,90.0000000000002,-59,0.0119948003651857
6,90.0000000000002,-58,0.0123317512584347
6,90.0000000000002,-57,0.0124690075413214
6,90.0000000000002,-56,0.012382026381595
6,90.0000000000002,-55,0.0120553658588366
6,90.0000000000002,-54,0.0114860883626085
6,90.0000000000002,-53,0.0106871469088478
6,90.0000000000002,-52,0.00969046545516047
6,90.0000000000002,-51,0.00854936517729611
6,90.0000000000002,-50,0.00733994599886196
6,90.0000000000002,-49,0.00616101635306416
6,90.0000000000002,-48,0.0051321842528906
6,90.0000000000002,-47,0.00438978824003568
6,90.0000000000002,-46,0.00408046411894747
6,90.0000000000002,-45,0.00435231486450363
6,90.0000000000002,-44,0.00534387333481097
6,90.0000000000002,-43,0.0071713100977246
6,90.0000000000002,-42,0.00991462383309301
6,90.0000000000002,-41,0.0136038339512514
6,90.0000000000002,-40,0.0182064425081125
6,90.0000000000002,-39,0.0236176094649486
6,90.0000000000002,-38,0.0296545556147242
6,90.0000000000002,-37,0.0360566387823707
6,90.0000000000002,-36,0.042492317792437
6,90.0000000000002,-35,0.048573815574571
6,90.0000000000002,-34,0.0538797260126771
6,90.0000000000002,-33,0.0579851077560708
6,90.0000000000002,-32,0.0604978223466995
6,90.0000000000002,-31,0.0610990727138914
6,90.0000000000002,-30,0.059585364122724
6,90.0000000000002,-29,0.0559085316653548
6,90.0000000000002,-28,0.0502101408751122
6,90.0000000000002,-27,0.0428465404390782
6,90.0000000000002,-26,0.034401171995098
6,90.0000000000002,-25,0.0256814309510138
